dataset,KNN,DecisionTree,RandomForest,GaussianNB,SVM
openml_GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1_40646,0.522115,0.534574,0.571226,0.438786,0.608365
openml_German-Credit-Risk-with-Target_46116,0.511968,0.570992,0.577696,0.586481,0.455622
openml_glass_41,0.572831,0.614043,0.735135,0.450546,0.087347
openml_grub-damage_338,0.43378,0.344426,0.373625,0.342757,0.290012
openml_haberman_43,0.64327,0.579985,0.56797,0.576873,0.420425
openml_hayes-roth_329,0.61889,0.808191,0.838777,0.709201,0.796992
openml_heart-c_49,0.643158,0.736247,0.815956,0.763522,0.612473
openml_Heart_disease_prediction_20_44149,0.658446,0.717738,0.776494,0.80834,0.631851
openml_hepatitis_55,0.474916,0.723537,0.748022,0.735603,0.450278
openml_hungarian_858,,,,,
openml_ibm-employee-attrition_43896,0.510342,0.59643,0.581004,0.653198,0.456159
openml_ilpd_1480,0.573136,0.582834,0.614069,0.551141,0.416416
openml_ionosphere_59,0.801853,0.880127,0.934067,0.875831,0.929674
openml_iriiiiiis_43859,0.96665,0.953115,0.946432,0.946533,0.966515
openml_irish_451,0.694064,0.963633,0.978681,0.98726,0.702458
openml_Iris_44344,0.96665,0.953115,0.946432,0.946533,0.966515
openml_iris_61,0.96665,0.953115,0.946432,0.946533,0.966515
openml_jEdit_4.2_4.3_1048,0.649554,0.635393,0.66334,0.474474,0.541723
openml_JuanFeldmanIris_42186,0.96665,0.953115,0.946432,0.946533,0.966515
openml_kc2_1063,0.672253,0.717635,0.722604,0.698371,0.659728
openml_kc3_1065,0.488591,0.64233,0.569194,0.638769,0.47416
openml_kdd_el_nino-small_839,0.910237,0.91848,0.946034,0.903404,0.785125
openml_KnuggetChase3_1448,0.491482,0.584012,0.554988,0.609378,0.448849
openml_KungChi3_1441,0.453316,0.60515,0.483576,0.636066,0.460357
openml_LED-display-domain-7digit_40496,0.700163,0.701739,0.699816,0.62207,0.713527
openml_Loan-Predication_43595,0.494198,0.682423,0.732835,0.726416,0.408272
openml_lowbwt_941,0.581527,0.84056,0.855665,0.736091,0.601326
openml_lungcancer_GSE31210_1412,0.646086,0.593972,0.625906,0.674281,0.45803
openml_lymph_10,0.6154,0.553267,0.69218,0.520741,0.567074
openml_machine_cpu_733,0.877721,0.903652,0.922463,0.913333,0.854329
openml_Mammographic-Mass-Data-Set_45557,0.734781,0.714725,0.740947,0.798414,0.689773
openml_mc2_1054,0.60345,0.616687,0.607044,0.631033,0.625667
openml_MegaWatt1_1442,0.489429,0.579574,0.536511,0.631621,0.471819
openml_meta_757,0.575411,0.617483,0.60615,0.536584,0.461223
openml_mfeat-morphological_18,0.473684,0.651212,0.710441,0.669965,0.419201
openml_mofn-3-7-10_40680,0.777974,1.0,0.995514,0.779127,1.0
openml_monks-problems-1_333,0.93877,0.958598,0.96571,0.728734,0.929277
openml_mu284_880,0.698037,0.992974,0.992974,0.793727,0.56929
openml_mux6_40681,0.898439,0.969231,0.937521,0.627883,0.95219
openml_mw1_1071,0.477962,0.551138,0.608315,0.610715,0.479999
openml_MyIris_1413,0.96665,0.953115,0.946432,0.946533,0.966515
openml_newton_hema_784,0.668041,0.669227,0.739573,0.640034,0.675978
openml_no2_886,0.591519,0.623566,0.656212,0.538181,0.533273
